unique_id,ds,cutoff,NBEATS,NHITS,y
hotel_105,2023-03-24,2023-03-10,0.8890623,0.8428899,0.8176100628930818
hotel_105,2023-03-25,2023-03-10,0.935623,0.8071915,0.8301886792452831
hotel_105,2023-03-26,2023-03-10,0.6225145,0.63029796,0.559748427672956
hotel_105,2023-03-27,2023-03-10,0.65157115,0.60483825,0.7735849056603774
hotel_105,2023-03-28,2023-03-10,0.71209544,0.66035074,0.8679245283018868
hotel_105,2023-03-29,2023-03-10,0.74504614,0.7120771,0.8176100628930818
hotel_105,2023-03-30,2023-03-10,0.76684994,0.73999506,0.6415094339622641
hotel_105,2023-03-31,2023-03-10,0.87281656,0.8425324,0.7987421383647799
hotel_105,2023-04-01,2023-03-10,0.92005265,0.8196283,0.8301886792452831
hotel_105,2023-04-02,2023-03-10,0.62388766,0.65374607,0.5723270440251572
hotel_105,2023-04-03,2023-03-10,0.6641167,0.6244804,0.7735849056603774
hotel_105,2023-04-04,2023-03-10,0.75404704,0.66379994,0.7924528301886793
hotel_105,2023-04-05,2023-03-10,0.7833826,0.7090438,0.8805031446540881
hotel_105,2023-04-06,2023-03-10,0.77699333,0.739553,0.6352201257861635
hotel_105,2023-04-07,2023-03-10,0.8577742,0.83653784,0.9685534591194969
hotel_105,2023-04-08,2023-04-07,0.96184283,0.92327166,0.9056603773584906
hotel_105,2023-04-09,2023-04-07,0.7159281,0.7684429,0.5534591194968553
hotel_105,2023-04-10,2023-04-07,0.7594847,0.7773895,0.6666666666666666
hotel_105,2023-04-11,2023-04-07,0.8484236,0.83795595,0.7421383647798742
hotel_105,2023-04-12,2023-04-07,0.823498,0.85920125,0.7924528301886793
hotel_105,2023-04-13,2023-04-07,0.82988995,0.88207704,0.7610062893081762
hotel_105,2023-04-14,2023-04-07,0.921235,0.9323901,0.8301886792452831
hotel_105,2023-04-15,2023-04-07,0.93276834,0.8798938,0.8742138364779874
hotel_105,2023-04-16,2023-04-07,0.7428669,0.7539837,0.6415094339622641
