unique_id,cutoff,metric,LGBMRegressor
hotel_63,2023-04-07,rmse,0.16654421812803977
hotel_7,2023-04-07,rmse,0.18538347679306136
hotel_70,2023-04-07,rmse,0.09613372964890583
hotel_77,2023-04-07,rmse,0.003203352682897216
hotel_84,2023-04-07,rmse,0.13544564101111728
hotel_91,2023-04-07,rmse,0.20858971782129673
hotel_98,2023-04-07,rmse,0.17205287161335514
hotel_0,2023-05-05,rmse,0.19876334464216572
hotel_105,2023-05-05,rmse,0.1903946014591078
hotel_112,2023-05-05,rmse,0.16475463276789773
hotel_126,2023-05-05,rmse,0.06058835881682451
hotel_133,2023-05-05,rmse,0.0767066002975098
hotel_14,2023-05-05,rmse,0.16593760019758366
hotel_21,2023-05-05,rmse,0.06628447984260623
hotel_28,2023-05-05,rmse,0.004475433348348152
hotel_35,2023-05-05,rmse,0.14158752566816754
hotel_42,2023-05-05,rmse,0.2646277520803947
hotel_49,2023-05-05,rmse,0.14196590481184285
hotel_56,2023-05-05,rmse,0.12335179340480283
hotel_63,2023-05-05,rmse,0.14847842718988483
hotel_7,2023-05-05,rmse,0.13063519409084684
hotel_70,2023-05-05,rmse,0.09103242192027712
hotel_77,2023-05-05,rmse,0.004475433348348152
hotel_84,2023-05-05,rmse,0.1307536677136629
hotel_91,2023-05-05,rmse,0.21351687257988394
hotel_98,2023-05-05,rmse,0.18160654313308125
hotel_0,2023-01-13,mape,0.3326477696545363
hotel_105,2023-01-13,mape,0.1822754726293167
hotel_112,2023-01-13,mape,0.2861082789069531
hotel_126,2023-01-13,mape,0.1685837940056005
hotel_133,2023-01-13,mape,0.2774346858864529
hotel_14,2023-01-13,mape,0.15257019627409996
hotel_21,2023-01-13,mape,0.1359988335186793
hotel_28,2023-01-13,mape,
hotel_35,2023-01-13,mape,0.19643011172287705
hotel_42,2023-01-13,mape,0.6255899408089786
hotel_49,2023-01-13,mape,0.07753930705337367
hotel_56,2023-01-13,mape,0.05147898925644712
hotel_63,2023-01-13,mape,0.29240140649067264
hotel_7,2023-01-13,mape,0.23581381458380088
hotel_70,2023-01-13,mape,0.16585695228629382
hotel_77,2023-01-13,mape,
hotel_84,2023-01-13,mape,12.303702968262842
hotel_91,2023-01-13,mape,0.2508331851081395
hotel_98,2023-01-13,mape,0.8798795965756555
hotel_0,2023-02-10,mape,0.13272462777524557
hotel_105,2023-02-10,mape,0.14378113021832026
hotel_112,2023-02-10,mape,0.12630297975104082
hotel_126,2023-02-10,mape,0.14685672745037529
hotel_133,2023-02-10,mape,0.22991193714773348
hotel_14,2023-02-10,mape,0.11828656186503964
hotel_21,2023-02-10,mape,0.026150291500435706
hotel_28,2023-02-10,mape,
hotel_35,2023-02-10,mape,0.1254777516124254
hotel_42,2023-02-10,mape,0.36598726705476997
hotel_49,2023-02-10,mape,0.1396720658651495
hotel_56,2023-02-10,mape,0.038515175066289986
hotel_63,2023-02-10,mape,0.29848049655194175
hotel_7,2023-02-10,mape,0.11434721373717961
hotel_70,2023-02-10,mape,0.2016811387238447
hotel_77,2023-02-10,mape,
hotel_84,2023-02-10,mape,0.28855691447284865
hotel_91,2023-02-10,mape,0.1752055546435262
hotel_98,2023-02-10,mape,0.5393032123882223
hotel_0,2023-03-10,mape,0.13800435344893655
hotel_105,2023-03-10,mape,0.13915487183150285
hotel_112,2023-03-10,mape,0.11195723082784204
hotel_126,2023-03-10,mape,0.06682927916388398
hotel_133,2023-03-10,mape,0.1564222348247807
hotel_14,2023-03-10,mape,0.13367137843225227
hotel_21,2023-03-10,mape,0.03383910121009169
hotel_28,2023-03-10,mape,0.6957730333990741
