unique_id,ds,cutoff,y,LGBMRegressor
hotel_14,2023-04-06,2023-03-10,0.7264150943396226,0.79916609248322
hotel_14,2023-04-07,2023-03-10,0.7169811320754716,0.8797118552406159
hotel_21,2023-03-11,2023-03-10,0.9953703703703703,0.9938010656976478
hotel_21,2023-03-12,2023-03-10,1.0,0.9197615887653824
hotel_21,2023-03-13,2023-03-10,1.0,0.9647025525599576
hotel_21,2023-03-14,2023-03-10,1.0,0.9737540172691754
hotel_21,2023-03-15,2023-03-10,0.9953703703703703,0.9794607944272482
hotel_21,2023-03-16,2023-03-10,0.9953703703703703,0.9787786417308124
hotel_21,2023-03-17,2023-03-10,0.9675925925925926,0.9878090963612176
hotel_21,2023-03-18,2023-03-10,1.0,0.9900887573187103
hotel_21,2023-03-19,2023-03-10,0.9768518518518519,0.9177326651463754
hotel_21,2023-03-20,2023-03-10,0.9814814814814815,0.9261052091912596
hotel_21,2023-03-21,2023-03-10,0.9861111111111112,0.9567367904418904
hotel_21,2023-03-22,2023-03-10,1.0,0.9623758914225191
hotel_21,2023-03-23,2023-03-10,0.9953703703703703,0.949069930528676
hotel_21,2023-03-24,2023-03-10,0.9768518518518519,0.9800152282789614
hotel_21,2023-03-25,2023-03-10,0.9907407407407407,0.9783820519175596
hotel_21,2023-03-26,2023-03-10,0.9814814814814815,0.8923410466930142
hotel_21,2023-03-27,2023-03-10,0.9490740740740741,0.9193215609326216
hotel_21,2023-03-28,2023-03-10,0.9537037037037037,0.9511590927836794
hotel_21,2023-03-29,2023-03-10,0.9953703703703703,0.9525138563784354
hotel_21,2023-03-30,2023-03-10,0.9907407407407407,0.9419194304962842
hotel_21,2023-03-31,2023-03-10,0.9768518518518519,0.9677898901063079
hotel_21,2023-04-01,2023-03-10,0.9907407407407407,0.9753150055227595
hotel_21,2023-04-02,2023-03-10,0.9629629629629629,0.8904336530345318
hotel_21,2023-04-03,2023-03-10,0.9907407407407407,0.9096300104179521
hotel_21,2023-04-04,2023-03-10,0.9583333333333334,0.9333704329026336
hotel_21,2023-04-05,2023-03-10,0.9907407407407407,0.9410541927030627
hotel_21,2023-04-06,2023-03-10,0.9537037037037037,0.9417602841792388
hotel_21,2023-04-07,2023-03-10,0.9675925925925926,0.9616246196646501
hotel_28,2023-03-11,2023-03-10,0.0,0.004009168415799511
hotel_28,2023-03-12,2023-03-10,0.0,-0.00043774516223031443
hotel_28,2023-03-13,2023-03-10,0.0,0.0006350732240592188
hotel_28,2023-03-14,2023-03-10,0.0,0.002135835342598813
hotel_28,2023-03-15,2023-03-10,0.0,0.002900920208605121
hotel_28,2023-03-16,2023-03-10,0.0,0.0027921400667311976
hotel_28,2023-03-17,2023-03-10,0.0,0.009255682995038216
